"variable,question_text,description,type,values"
"strategies_for_identifying_unreliable_content,""I have strategies that help me identify unreliable content."",""Perceived presence of strategies for spotting unreliable online content."",""numeric"",""1–7 (standard Likert agreement scale)"""
"want_clearer_verification_methods,""I would like clearer ways to verify whether something online is real."",""Desire for clearer methods to verify whether online content is real or trustworthy."",""numeric"",""1–7 (standard Likert agreement scale)"""
"trust_ai_to_act_in_best_interests,""How much do you trust AI systems to act in your best interests?"",""Level of trust that AI systems act in the participant's best interests."",""numeric"",""1–7 (standard Likert agreement scale)"""
"what_matters_most,""How clear do you feel about what matters most in your life right now?"",""Self-rated clarity about what matters most in life."",""numeric"",""1–7 (standard Likert agreement scale)"""
"digital_life_effect_on_focus,""How much does modern digital life affect your ability to focus, decide, or think clearly?"",""Perceived impact of modern digital life on focus, decision-making, and clear thinking."",""numeric"",""1–7 (standard Likert agreement scale)"""
"feelings_about_ai_in_decision_making,""How do you feel about the growing role of AI in everyday decision-making?"",""Overall feeling about AI’s growing role in everyday decision-making."",""numeric"",""1–7 (standard Likert agreement scale)"""
"ai_values_multi,""Which values do you believe AI systems should reflect? (select up to 3)"",""Values participants believe AI systems should reflect (multi-select)."",""multi_select"","""""
"age_group,""What is your age group?"",""Participant age group category."",""categorical"","""""
"work_status,""Which of the following best describes your current work status?"",""Participant employment status."",""categorical"","""""
"education_level,""What is your highest level of education?"",""Participant highest level of education completed."",""categorical"","""""
"country,""Country of residence"",""Participant country of residence."",""categorical"","""""
"gender,""Which of the following best describes your gender?"",""Participant gender identity (self-described within listed categories)."",""categorical"","""""
"emotional_wellbeing,""How would you describe your general emotional wellbeing?"",""Self-rated general emotional wellbeing."",""categorical"",""1–7 (1 = Very poor, 7 = Excellent)"""
